S.No,CPU-0,CPU-1,CPU-2,CPU-3,CPU-4,CPU-5,CPU-6,CPU-7,CPU-8
156,37.57,15.13,0.0,0.0,0.17,0.0,19.64,10.74
157,35.64,18.48,0.0,0.0,0.0,0.0,10.88,22.79
158,37.13,44.46,0.05,0.0,0.17,0.0,5.38,6.51
159,30.78,21.37,0.0,0.0,13.4,0.0,12.35,7.69
160,35.8,14.11,0.0,0.0,3.02,0.0,19.83,12.38
161,36.36,28.7,0.05,0.0,5.91,0.0,3.89,15.09
162,35.06,18.86,0.01,0.01,6.56,0.01,9.78,15.36
163,25.86,28.03,14.28,0.0,0.0,0.0,8.0,12.82
164,24.77,33.29,0.18,0.0,9.42,0.0,13.91,9.23
165,33.27,25.41,0.0,0.0,9.64,0.0,5.27,12.79
166,42.07,38.54,0.13,0.01,0.01,0.01,6.48,4.01
167,30.28,17.9,0.66,0.0,12.13,0.0,9.84,12.77
168,31.75,16.53,0.01,0.01,15.43,0.01,10.05,11.88
169,26.9,29.41,0.01,0.01,0.01,0.01,10.7,18.36
170,34.09,19.21,0.01,0.01,13.53,0.01,9.22,8.6
171,33.84,26.28,0.78,0.0,6.73,0.0,5.49,13.32
172,24.66,24.04,0.0,0.0,12.54,0.0,13.89,8.02
173,25.95,18.24,0.77,0.0,19.4,0.0,8.43,14.84
174,29.92,30.37,0.37,0.0,5.86,0.0,13.32,7.0
175,33.7,47.61,0.21,0.0,0.0,0.0,4.56,6.32
176,23.47,21.24,12.86,0.01,7.6,0.01,18.48,7.48
177,25.6,7.04,20.52,0.01,11.66,0.01,11.2,8.15
178,29.27,33.3,0.46,0.0,6.02,0.0,7.28,11.37
179,34.11,14.64,15.11,0.02,0.02,0.02,13.29,10.69
180,27.27,21.98,0.02,0.03,16.23,0.03,9.15,8.84
181,30.17,10.45,0.03,0.03,13.46,0.03,16.04,14.05
182,31.71,18.7,0.03,0.03,0.27,0.03,20.33,12.07
183,24.18,31.69,0.05,0.0,0.66,0.0,16.17,14.8
184,32.23,33.35,0.05,0.0,7.21,0.0,10.49,6.52
185,29.3,22.83,27.61,0.0,0.0,0.0,6.89,7.95
