S.No,Total Memory,Used Memory
344,12875464704,488020787
345,12875464704,488018739
346,12875464704,488017100
347,12875464704,488015052
348,12875464704,488013414
349,12875464704,488011366
350,12875464704,488006451
351,12875464704,488003993
352,12875464704,488002355
353,12875464704,488000307
354,12875464704,487998668
355,12875464704,487996620
356,12875464704,487994572
357,12875464704,487989657
358,12875464704,487987200
359,12875464704,487985561
360,12875464704,487983513
361,12875464704,487981875
362,12875464704,487979827
363,12875464704,487978188
364,12875464704,487972864
365,12875464704,487971225
366,12875464704,487969177
367,12875464704,487967539
368,12875464704,487965491
369,12875464704,487963443
370,12875464704,487961804
371,12875464704,487956480
372,12875464704,487954432
373,12875464704,487952384
374,12875464704,487950745
